sCode,noPeriode,sDescription
IN-AW,1567,STAT. INT 01-14h LUN-DIM18h-23h59 MAR-VEN (GTR)
IN-AX,1500,STAT.INT  06h-7h LUN - VEN (test GTR)
IN-RA,1475,Arrêt interdit - remorquage 9h-10h LUN-VEN (test GTR)
IN-RB,1478,Arrêt interdit - remorquage 10h-13h LUN-VEN (test GTR)
IN-RC,1479,Arrêt interdit - remorquage 13h-15h LUN-VEN (test GTR)
IN-RD,1487,Arrêt interdit - remorquage 15h-15h30 LUN-VEN (test GTR)
IN-RF,330,Arrêt interdit - remorquage 12h-13h LUN-VEN (test GTR)
IN-RG,296,Arrêt interdit - Remorquage 14h à 16h (Test GTR)
IN-RH,330,STAT.INT 12h-13h LUN-VEN (test GTR)
IN-RI,1489,Arrêt interdit - Remorquage 11h - 13 h (Test GTR)
IN-RJ,1486,Arret INT 18h-19h LUN à VEN (Test GTR)
IN-RK,1477,Arrêt interdit - Remorquage  10h - 12h (Test GTR)
IN-RL,252,Arrêt interdit - Remorquage 11h - 16h (Test GTR)
IN-RM,1568,Arrêt interdit - Remorquage 15h - 17h (Test GTR)
IN-RN,1484,Arrêt interdit - Remorquage 14h - 15h (Test GTR)
IN-RO,1494,Arr. int 20-21 Lun - Ven (Test GTR)
IN-RP,1571,Arr.int 19h-20h Lun - ven (Test GTR)
IN-RQ,296,Arr inter 14-16 Lun-ven (Test GTR)
IN-RR,1572,Arr.int 20h - 22h Lun - ven (Test GTR)
IN-RS,172,Arr int 15h-16h Lun -vend (Test GTR)
MM-08,259,9 h - 18 h  LUN - VEN (8 $ MAX) (Test GTR)
MM-11,259,9 h - 18 h  LUN - VEN (11$ MAX)
MQ-12,1371,6 h - 17 h LUN à VEN (12 $ MAX)
MT-10,1372,24h /24 7j /7 -  (10 $ / 24h)
MT-11,1372,24h /24 7j /7 -  (11 $ / 24h)
MT-12,1372,24h /24 7j /7 -  (12 $ / 24h)
MT-13,1372,24h /24 7j /7 -  (13 $ / 24h)
MT-14,1372,24h /24 7j /7 -  (14 $ / 24h)
MT-15,1372,24h /24 7j /7 -  (15 $ / 24h)
MT-16,1372,24h /24 7j /7 -  (16 $ / 24h)
MT-17,1372,24h /24 7j /7  (17$ / 24h)
MT-18,1372,24h /24 7j /7  (18$ / 24h)
MU-11,28,9h-21h LUN à VEN 9h-18h SAM  (Max 11$)
MU-11,108,9h-21h LUN à VEN 9h-18h SAM  (Max 11$)
MU-12,259,9 h - 18 h LUN - VEN (12 25$ MAX)
MU-18,1394,VEN 17h-00h SAM et DIM 24h (max 18$)
MU-18,1416,VEN 17h-00h SAM et DIM 24h (max 18$)
MV-11,28,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 11$)
MV-11,108,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 11$)
MV-11,125,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 11$)
MV-12,108,9 h - 21 h LUN - VEN  et 9h-18h SAM-DIM (1225 $ MAX)
MV-12,332,9 h - 21 h LUN - VEN  et 9h-18h SAM-DIM (1225 $ MAX)
MV-15,125,9 h - 21 h LUN - SAM  et 13h-18h DIM (1500 $ MAX)
MV-15,158,9 h - 21 h LUN - SAM  et 13h-18h DIM (1500 $ MAX)
MV-18,1445,17 h - 6 h LUN - VEN(18$ MAX)
MV-18,1447,17 h - 6 h LUN - VEN(18$ MAX)
MX-01,109,MAX 3 h18 h - 21 h LUN À VEN
MX-02,28,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-02,125,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-03,142,MAX 4 h 9h - 21 h
MX-04,28,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,108,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,125,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,28,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,108,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,125,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-06,28,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-06,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-07,28,MAX 3 h 9h - 18 h SAM
MX-10,125,MAX 3 h13 h - 18 h DIM
MX-11,34,MAX 3 h 9 h - 18 h LUN à SAM
MX-12,108,MAX 3 h 9 h - 21 h LUN à VEN
MX-14,28,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,125,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-16,28,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,125,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-17,35,MAX 3 h18 h - 21 h JEU ET VEN
MX-21,25,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,26,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,28,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-22,125,MAX 5h 9h-23h samedi et 13h-18h dimanche
MX-22,1492,MAX 5h 9h-23h samedi et 13h-18h dimanche
MX-25,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-25,332,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-27,1569,Max 3h 9h - 23h Lun - dim
MX-28,259,3H 9 H - 18H LUN - VEND (GTR)
MX-32,332,MAX 3 h 9h - 18 h SAM et DIM
MX-44,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-44,332,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-50,159,MAX 5 h18 h - 23 h LUN À VEN
MX-51,252,MAX 4h 11h - 16h  (Test GTR)
MX-52,1570,Durée Max 11h-23h 4h (Test GTR)
MX-61,1471,MAX 1h 9h - 20h LUN-VEN (TEST GTR)
MX-65,1391,MAX 3h 12h - 18h LUN-VEN (TEST GTR)
MX-66,28,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,108,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,125,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-67,236,MAX 5h 15h-21h Lun -Vend (Test GTR)
MX-68,236,MAX 5h 15H-21H Lun-Ven (Test GTR)
MX-98,34,MAX 3h LUN AU SAM 9h - 18h
MX-99,125,MAX 3 h L-V 8h - 23 h SAM 9h - 23h DIM 13h - 18h
MX-99,1491,MAX 3 h L-V 8h - 23 h SAM 9h - 23h DIM 13h - 18h
MX-99,1492,MAX 3 h L-V 8h - 23 h SAM 9h - 23h DIM 13h - 18h
PA-TD,319,\P  Réservé aux handicapés
PA-VL,1437,Interdit d attacher vélo après un parcomètre
PC-GR,1437,Tarifé EXCEPTÉ pour les détenteurs d'une vignette SRRR du secteur
PC-PI,1437,Excepté périodes interdites
PC-TD,319,Réservée aux personnes handicapées
PC-VE,319,Réservée véhicule électrique en recharge (collant blanc officiel)
PC-VS,319,Stationnement réservé - véhicule électrique seulement
PJ-02,174,Permis 24h (Payez-Affichez Payez-Partez) (Test GTR)
PJ-03,174,Permis journalier de minuit à minuit (Test GTR)
R747,116,Pour paiement des billets pour les autobus STM # 747
SH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SI-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN
SI-AB,38,ARRET INT.  8 h - 9 h 30 LUN À VEN
SI-AC,232,STAT. INT. EXCEPTÉ LIVR. 6 h - 12 h LUN À VEN
SI-AE,1615,ARRET INT. 7 h 30 - 9 h 30 LUN À VEN
SI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
SI-AK,1474,STAT. INT. 8 h - 9 h 30 LUN À VEN
SI-AV,45,STAT. INT. EXCEPTÉ LIVRAISON. 7h à 11h LUN À VEN
SI-AY,288,STAT. INT. 8 h - 15 h 30 LUN AU VEN
SI-AZ,62,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-AZ,194,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-BA,1381,ARRÊT INT. 5 h 30 - 21 h 30 LUN À VEN
SI-BB,1420,P 15 min  9 h - 19 h 7 jours / 7
SI-BC,1421,P 15 min  7 h - 18 h 7 jours / 7
SI-BD,1493,P 15 MIN  8 h - 20 h 7 jours / 7
SI-DA,46,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DA,47,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,62,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DE,37,P 15 min DÉB. 7 h - 9 h 30 LUN À VEN
SI-DF,62,P 15 min DÉB. 15 h 30 - 18 h LUN À VENP 15 min DÉB. 15 h 30 - 18 h LUN À VEN
SI-DI,175,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DI,194,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DL,48,ARRET INT. 16 h - 18 h 30 LUN À VEN 01/11 AU 31/12
SI-DM,48,0
SI-DN,100,P15min DÉB. 7 h - 9 h LUN À VEN 01 sept au 31 déc
SI-DO,100,P15min DÉB. 7 h -9 h LUN À VEN 01 jan au 30 juin
SI-DP,1371,STAT. INT. EXCEPTÉ PERMIS MENSUELS 6 h - 17 h LUN À VEN
SI-DQ,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 31 OCT (saisonnier)
SI-DR,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 1 DEC(saisonnier)
SI-DV,1371,STAT. INT. EXCEPTÉ PERMIS MENSUELS 6 h - 17 h L à V.
SI-DW,1436,STAT. INT. 7 h ou 8 h ou 9 h - 17 h
SI-DX,265,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 31 décembre
SI-DX,1370,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 31 décembre
SI-DX,1452,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 31 décembre
SI-DX,1453,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 31 décembre
SI-DY,265,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 janvier. au 30 juin
SI-DY,1370,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 janvier. au 30 juin
SI-DY,1452,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 janvier. au 30 juin
SI-DY,1453,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 janvier. au 30 juin
SI-DZ,203,STAT. INT. 7 h à 17 h LUN À VEN 01 juillet au 31 août
SI-EA,1514,STAT. INT. EXCEPTÉ LIVR. 8 h 30 - 10 h LUN À VEN
SI-EB,1640,STAT. INT. EXCEPTÉ AUTOBUS. 7 h 30 - 15 h 30 LUN À VEN
SI-EC,1516,STAT. INT. Débarcadère. 15 mins 6 h - 18 h LUN À VEN
SI-ED,108,STAT. INT. Livraison 9 h - 21 h LUN À VEN
SI-EF,1547,STAT. INT. 5 h - 9 h 7jrs/7 EXCEPTÉ LIVRAISON
SI-MA,78,STAT. INT. 8 h - 9 h LUN À VEN
SI-MB,1399,ARRET INT. 6 h ou 6 h 30 - 9 h LUN À VEN
SI-MC,181,STAT. INT. 7h - 18h LUN à VEN EXCEPTÉ  LIVRAISON
SI-NA,56,STAT. INT. 17 h - 9 h LUN À DIM
SI-NA,101,STAT. INT. 17 h - 9 h LUN À DIM
SI-NC,109,STAT. INT. 18 h - 21 h LUN À VEN
SI-NE,1416,STAT. INT. 0 h - 24 h SAM et DIM
SI-NF,1417,P 15 min DÉB 9 h - 18 h
SI-NG,54,STAT. INT. 13h - 17 h LUN À VEN
SI-NQ,1444,STAT. INT. 10 h - 14 h 30 LUN À VEN
SI-NR,1448,STAT. INT.19 h 30 - 24 h
SI-NT,1436,STAT. INT. 9  h - 17 h tous les jours excepté livraison
SI-NU,296,STAT. INT. EXCEPTÉ DÉB. 15 min 14h - 16h LUN à VEN du 1 sept au 30 juin
SI-NV,1451,STAT. INT. 9  h - 17 h tous les jours excepté livraison
SI-NW,181,P5 min Débarcadère 7 h - 18 h LUN À VEN (20/08 AU 31/12)
SI-NY,181,P5 min Débarcadère 7 h - 18 h LUN À VEN (01/01 AU 30/06)
SI-PA,52,STAT. INT. EXCEPTÉ PERMIS 18 h - 23 h
SI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
SI-PC,54,STAT. INT. EXCEPTÉ LIVR. 13 h - 17 h LUN À VEN 
SI-PD,1542,STAT. INT. EXCEPTÉ LIVR. 8 h - 17 h LUN À VEN
SI-PE,47,ARRET INT. 16 h -18 h LUN À VEN
SI-PG,41,STAT. INT. 18 h - 24 h
SI-PH,1451,STAT. INT. EXCEPTÉ LIVR. 9 h - 17 h
SI-PI,41,STAT. INT. EXCEPTÉ AUTOBUS 18 h - 24 h
SI-PJ,56,STAT. INT. 17 h - 24 h LUN AU DIM
SI-PK,260,STAT. INT. 9 h - 17 h LUN À VEN EXCEPTÉ LIVRAISON
SI-PM,159,STAT. INT. 18 h - 23 h  LUN À VEN
SI-PO,285,STAT. INT. 9 h - 13 h LUN À SAM
SI-PP,203,P 15 min DÉB 8 h - 17 h LUN À VEN sept. à juin
SI-PQ,203,P 15 min DÉB 8 h - 17 h LUN À VEN janvt. à juin
SI-PT,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PT,47,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PU,124,ARRÊT INT. 6 h - 10 h LUN À VEN
SI-PV,138,P 15 min DÉB 7 h à 16 h LUN À VEN
SI-PX,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PX,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PZ,79,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-PZ,306,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-QA,40,P 15 min DÉB 7h-9h30 15h-18h LUN à VEN août à juin
SI-QA,175,P 15 min DÉB 7h-9h30 15h-18h LUN à VEN août à juin
SI-QC,1435,STAT. INT. 12 h - 17 h LUN À VEN
SI-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QG,46,ARRET INT. 7 h - 9 h LUN À VEN
SI-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN
SI-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN
SI-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QS,59,STAT. INT. EXCEPTÉ DÉB. 18 h 30 - 24 h
SI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-RB,37,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RB,80,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RE,1474,ARRET INT. 8 h - 9 h 30 LUN À VEN
SI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
SI-RP,119,STAT. INT. EXCEPTÉ DÉB. 13 h - 16 h LUN À VEN
